,id,time,mood_next_day,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,next_day,next_day_weekday,weekday,monday,tuesday,wednesday,thursday,friday,saturday,sunday,month,c_s,fun,idk,serious,talk,all,good,bad
0,AS14.01,2014-02-19,,,,,,,7.0,2.0,,,,,,,,,,,,,2014-02-20,1,1,0,0,1,0,0,0,0,2,9.0,,,,,,,
1,AS14.01,2014-02-20,,,,,,,2.0,3.0,,,,,,,,,,,,,2014-02-21,1,1,0,0,0,1,0,0,0,2,5.0,,,,,,,
2,AS14.01,2014-02-22,,,,,,,2.0,1.0,,,,,,,,,,,,,2014-02-23,0,0,0,0,0,0,0,1,0,2,3.0,,,,,,,
3,AS14.01,2014-02-26,6.333333333333333,6.25,-0.25,0.75,,,1.0,2.0,,,,,,,,,,,,,2014-02-27,1,1,0,0,1,0,0,0,0,2,3.0,,,,,,,
4,AS14.01,2014-02-27,,6.333333333333333,0.0,0.3333333333333333,,,,,,,,,,,,,,,,,2014-02-28,1,1,0,0,0,1,0,0,0,2,,,,,,,,
5,AS14.01,2014-03-12,,,,,,,7.0,1.0,,,,,,,,,,,,,2014-03-13,1,1,0,0,1,0,0,0,0,3,8.0,,,,,,,
6,AS14.01,2014-03-14,,,,,,,3.0,1.0,,,,,,,,,,,,,2014-03-15,0,1,0,0,0,0,1,0,0,3,4.0,,,,,,,
7,AS14.01,2014-03-18,,,,,,,1.0,2.0,,,,,,,,,,,,,2014-03-19,1,1,0,1,0,0,0,0,0,3,3.0,,,,,,,
8,AS14.01,2014-03-20,6.2,,,,0.08154761904761905,2275.94400024414,1.0,,248.979,2168.229,350.856,,,,11.345,807.731,,45.173,21.073999999999998,,2014-03-21,1,1,0,0,0,1,0,0,0,3,1.0,350.856,77.592,,2975.96,3653.3869999999993,2168.229,807.731
9,AS14.01,2014-03-21,6.4,6.2,0.2,0.2,0.13405010398938863,17978.907000064843,6.0,,3139.218,6280.889999999999,1007.456,49.544,,172.20600000000002,239.751,4508.500000000001,915.4450000000002,,598.754,,2014-03-22,0,1,0,0,0,0,1,0,0,3,6.0,1007.456,838.505,221.75,10789.39,16911.764000000003,7196.334999999999,4730.250000000001
10,AS14.01,2014-03-22,6.8,6.4,0.6,0.5,0.2368802192399581,6142.160999536513,3.0,1.0,731.4290000000002,4962.918,93.324,21.076,,,98.14300000000001,439.6319999999999,37.305,,117.62100000000001,,2014-03-23,0,0,0,0,0,0,0,1,0,3,4.0,93.324,215.764,21.076,5402.549999999999,6501.447999999999,5000.223,460.7079999999999
11,AS14.01,2014-03-23,6.0,6.8,0.2,0.8,0.14274111580506368,6773.832001447676,,,1286.2459999999999,5237.319,94.346,43.403000000000006,,,72.82300000000001,900.8389999999999,,,30.086,30.386,2014-03-24,1,0,0,0,0,0,0,0,1,3,,94.346,102.909,43.403000000000006,6138.158,7665.062000000001,5237.319,944.242
12,AS14.01,2014-03-24,6.75,6.0,0.8,0.0,0.07896105611559798,15047.351000547405,10.0,,866.956,9270.629,976.971,34.106,,3.01,66.55799999999999,3223.6259999999997,419.805,,178.732,,2014-03-25,1,1,1,0,0,0,0,0,0,3,10.0,976.971,245.29,37.116,12494.255000000001,15040.393,9690.434000000001,3260.7419999999997
13,AS14.01,2014-03-25,6.6,6.75,0.5,0.5,0.09837411239050675,21475.35499906539,,1.0,1032.768,10276.751,68.206,43.053999999999995,,,178.81900000000002,1919.4709999999998,,235.223,222.893,,2014-03-26,1,1,0,1,0,0,0,0,0,3,1.0,68.206,636.9350000000001,43.053999999999995,12196.222,13977.185,10276.751,1962.5249999999999
14,AS14.01,2014-03-26,7.0,6.6,-0.2,0.6,0.10130832167007593,16423.801000356674,,,1167.497,8988.752999999999,910.4789999999999,52.331,,,97.498,4592.059,,,33.365,,2014-03-27,1,1,0,0,1,0,0,0,0,3,,910.4789999999999,130.863,52.331,13580.811999999998,15841.981999999998,8988.752999999999,4644.39
15,AS14.01,2014-03-27,6.4,7.0,0.2,0.8,0.1595106409690975,17442.14999938011,2.0,1.0,1229.327,6936.512,639.3389999999999,42.218999999999994,,182.451,58.532,935.3810000000001,47.314,,179.02899999999997,,2014-03-28,1,1,0,0,0,1,0,0,0,3,3.0,639.3389999999999,237.56099999999998,224.67,7871.893,10250.104000000001,6983.826,1160.0510000000002
