id	time	screen	activity	total_app_time	circumplex.arousal	circumplex.valence	call_sms	mood	Day_name	is_weekday	moodmean_5days	moodpreviousday	moodnextday	Friday	Monday	Saturday	Sunday	Thursday	Tuesday	Wednesday
AS14.01	2014-02-26	12088.324244403839	0.09249788807582902	11327.57948888889	-0.25	0.75	3.0	6.25	Wednesday	1			6.333333333333333	0	0	0	0	0	0	1
AS14.01	2014-02-27	12088.324244403839	0.09249788807582902	11327.57948888889	0.0	0.3333333333333333	0.0	6.333333333333333	Thursday	1		6.25	6.2	0	0	0	0	1	0	0
AS14.01	2014-03-21	17978.90700006484	0.13405010398938863	16690.014000000006	0.2	0.2	6.0	6.2	Friday	1		6.333333333333333	6.4	1	0	0	0	0	0	0
AS14.01	2014-03-22	6142.160999536514	0.2368802192399581	6480.372000000001	0.6	0.5	4.0	6.4	Saturday	0		6.2	6.8	0	0	1	0	0	0	0
AS14.01	2014-03-23	6773.832001447676	0.14274111580506368	7621.658999999999	0.2	0.8	0.0	6.8	Sunday	0	6.3966666666666665	6.4	6.0	0	0	0	1	0	0	0
AS14.01	2014-03-24	15047.351000547404	0.07896105611559796	15003.276999999998	0.8	0.0	10.0	6.0	Monday	1	6.346666666666667	6.8	6.75	0	1	0	0	0	0	0
AS14.01	2014-03-25	21475.354999065392	0.09837411239050675	13698.907999999998	0.5	0.5	1.0	6.75	Tuesday	1	6.43	6.0	6.6	0	0	0	0	0	1	0
AS14.01	2014-03-26	16423.801000356674	0.10130832167007593	15789.650999999998	-0.2	0.6	0.0	6.6	Wednesday	1	6.51	6.75	7.0	0	0	0	0	0	0	1
AS14.01	2014-03-27	17442.14999938011	0.1595106409690975	10025.434	0.2	0.8	3.0	7.0	Thursday	1	6.63	6.6	6.4	0	0	0	0	1	0	0
AS14.01	2014-03-28	4923.48899960518	0.09569802163712016	14108.249000000003	-0.6	0.6	5.0	6.4	Friday	1	6.55	7.0	8.0	1	0	0	0	0	0	0
AS14.01	2014-03-29	8322.6219997406	0.06820281010186964	7596.305	0.2	1.0	5.0	8.0	Saturday	0	6.95	6.4	7.5	0	0	1	0	0	0	0
AS14.01	2014-03-30	4523.2140009403265	0.049092970521542004	3528.5310000000004	-0.5	0.75	0.0	7.5	Sunday	0	7.1	8.0	7.4	0	0	0	1	0	0	0
AS14.01	2014-03-31	11836.83400034904	0.07050548088338955	12065.856999999998	0.0	0.6	6.0	7.4	Monday	1	7.260000000000001	7.5	6.0	0	1	0	0	0	0	0
AS14.01	2014-04-01	17173.906002044678	0.11844324271273599	15805.194000000005	0.2	0.0	1.0	6.0	Tuesday	1	7.0600000000000005	7.4	6.5	0	0	0	0	0	1	0
AS14.01	2014-04-02	21358.510999917988	0.10191661063822345	16189.585	0.3333333333333333	0.6666666666666666	4.0	6.5	Wednesday	1	7.08	6.0	6.4	0	0	0	0	0	0	1
AS14.01	2014-04-03	21401.835000753403	0.04923847270844108	21623.174	-1.2	0.0	4.0	6.4	Thursday	1	6.76	6.5	6.2	0	0	0	0	1	0	0
AS14.01	2014-04-04	12379.411000013355	0.12668931120732582	11534.614999999998	0.2	0.4	3.0	6.2	Friday	1	6.5	6.4	6.8	1	0	0	0	0	0	0
AS14.01	2014-04-05	3340.4309999942784	0.1190023022034455	17872.209999999992	-0.4	0.6	0.0	6.8	Saturday	0	6.380000000000001	6.2	6.5	0	0	1	0	0	0	0
AS14.01	2014-04-06	7467.3219997882825	0.06440779944246812	8578.448	-0.75	0.5	4.0	6.5	Sunday	0	6.4799999999999995	6.8	6.5	0	0	0	1	0	0	0
AS14.01	2014-04-07	9846.380999803543	0.050670621174317886	10641.337	-0.6666666666666666	0.25	1.0	6.5	Monday	1	6.4799999999999995	6.5	6.6	0	1	0	0	0	0	0
AS14.01	2014-04-08	15101.13200187683	0.07532705826134847	16737.499	-0.4	0.3333333333333333	1.0	6.6	Tuesday	1	6.5200000000000005	6.5	7.4	0	0	0	0	0	1	0
AS14.01	2014-04-09	13558.289000988008	0.12038411453232874	12506.826000000001	-0.8	1.0	4.0	7.4	Wednesday	1	6.76	6.6	7.4	0	0	0	0	0	0	1
AS14.01	2014-04-10	9296.098999261858	0.07896310519489107	9115.982	-0.4	0.8	7.0	7.4	Thursday	1	6.88	7.4	7.0	0	0	0	0	1	0	0
AS14.01	2014-04-11	10526.846000194553	0.07998620207306051	9578.902000000002	-1.2	0.8	0.0	7.0	Friday	1	6.9799999999999995	7.4	7.25	1	0	0	0	0	0	0
AS14.01	2014-04-12	11750.809000968926	0.07224906147031818	9784.899	-0.75	0.75	0.0	7.25	Saturday	0	7.13	7.0	8.0	0	0	1	0	0	0	0
AS14.01	2014-04-13	2005.7509992122657	0.014021328954370723	1922.3129999999996	-1.25	1.0	0.0	8.0	Sunday	0	7.409999999999999	7.25	7.2	0	0	0	1	0	0	0
AS14.01	2014-04-14	17985.447999238968	0.08388731446988419	17795.62	-1.2	0.6	2.0	7.2	Monday	1	7.37	8.0	6.4	0	1	0	0	0	0	0
AS14.01	2014-04-15	13585.222998380666	0.09011215278072525	13591.89	0.0	0.8	9.0	6.4	Tuesday	1	7.17	7.2	7.2	0	0	0	0	0	1	0
AS14.01	2014-04-16	12522.47499895096	0.1161103361271222	8702.586	0.75	0.5	1.0	7.2	Wednesday	1	7.209999999999999	6.4	6.6	0	0	0	0	0	0	1
AS14.01	2014-04-17	15018.480000734336	0.05691785667209682	14758.408	-0.4	0.6	2.0	6.6	Thursday	1	7.08	7.2	6.8	0	0	0	0	1	0	0
AS14.01	2014-04-18	13490.728999614708	0.09403300669497609	10171.173999999999	-0.8	0.8	1.0	6.8	Friday	1	6.840000000000001	6.6	7.8	1	0	0	0	0	0	0
AS14.01	2014-04-19	13293.2480006218	0.09943191172384026	5006.563999999999	-0.2	1.0	1.0	7.8	Saturday	0	6.959999999999999	6.8	7.25	0	0	1	0	0	0	0
AS14.01	2014-04-20	8343.518000364305	0.07481624304311597	9002.280999999999	-0.25	0.75	4.0	7.25	Sunday	0	7.13	7.8	7.6	0	0	0	1	0	0	0
AS14.01	2014-04-21	3832.9909992218018	0.10204105896824717	6287.6399999999985	-0.25	1.0	2.0	7.6	Monday	1	7.209999999999999	7.25	7.4	0	1	0	0	0	0	0
AS14.01	2014-04-22	15490.269999265669	0.09192955182229205	16583.807000000008	0.2	1.0	2.0	7.4	Tuesday	1	7.369999999999999	7.6	7.6	0	0	0	0	0	1	0
AS14.01	2014-04-23	14535.339999437334	0.04598568913376553	11222.680999999995	0.2	1.0	1.0	7.6	Wednesday	1	7.529999999999999	7.4	7.6	0	0	0	0	0	0	1
AS14.01	2014-04-24	22086.478000164043	0.05090298819403429	19111.229000000003	-0.4	1.0	1.0	7.6	Thursday	1	7.49	7.6	7.2	0	0	0	0	1	0	0
AS14.01	2014-04-25	13973.941999673843	0.10906106363682745	11455.42	-0.2	0.8	3.0	7.2	Friday	1	7.4799999999999995	7.6	7.6	1	0	0	0	0	0	0
AS14.01	2014-04-26	15482.018999338148	0.214248771624235	6759.05	-0.2	1.0	7.0	7.6	Saturday	0	7.4799999999999995	7.2	7.5	0	0	1	0	0	0	0
AS14.01	2014-04-27	5700.562000036243	0.030478923798963695	6377.525	0.0	1.0	0.0	7.5	Sunday	0	7.5	7.6	7.6	0	0	0	1	0	0	0
AS14.01	2014-04-28	10807.829999685286	0.0196753225383989	10434.521	-0.8	0.8	2.0	7.6	Monday	1	7.5	7.5	7.0	0	1	0	0	0	0	0
AS14.01	2014-04-29	7873.291999101639	0.10275824852950448	11591.466	-0.25	1.0	0.0	7.0	Tuesday	1	7.38	7.6	7.8	0	0	0	0	0	1	0
AS14.01	2014-04-30	9175.604999065401	0.1510514590407472	5560.485000000001	-0.4	0.75	1.0	7.8	Wednesday	1	7.5	7.0	8.0	0	0	0	0	0	0	1
AS14.01	2014-05-01	15516.951998472214	0.03706526814765703	15771.330000000004	-0.4	1.0	11.0	8.0	Thursday	1	7.58	7.8	7.6	0	0	0	0	1	0	0
AS14.01	2014-05-02	15088.519000768661	0.07734101929677568	9889.034	-0.2	1.0	0.0	7.6	Friday	1	7.6	8.0	8.0	1	0	0	0	0	0	0
AS14.01	2014-05-03	8186.036000728606	0.07174088489517204	8570.389999999998	-0.2	1.0	1.0	8.0	Saturday	0	7.68	7.6	8.0	0	0	1	0	0	0	0
AS14.01	2014-05-04	5889.194999456405	0.13619180837703834	6598.735	-0.5	1.0	0.0	8.0	Sunday	0	7.88	8.0	6.333333333333333	0	0	0	1	0	0	0
AS14.02	2014-03-16	4902.626999616626	0.2653549078740176	6266.964	0.0	0.0	5.0	6.333333333333333	Sunday	0	7.586666666666666	8.0	6.75	0	0	0	1	0	0	0
AS14.02	2014-03-17	10159.769001245493	0.16806841495032573	8465.368000000002	0.5	0.5	4.0	6.75	Monday	1	7.336666666666666	6.333333333333333	8.2	0	1	0	0	0	0	0
AS14.02	2014-03-18	4512.4710013866425	0.2194843842554376	6927.630999999998	0.6	0.8	16.0	8.2	Tuesday	1	7.456666666666666	6.75	6.8	0	0	0	0	0	1	0
AS14.02	2014-03-19	8182.757000207906	0.31563175685064315	5068.201999999998	0.4	0.4	6.0	6.8	Wednesday	1	7.216666666666666	8.2	7.25	0	0	0	0	0	0	1
