,p1,d1,q1,mse1,r21,tr_na1,tr1,tst1,p2,d2,q2,mse2,r22,tr_na2,tr2,tst2
AS14.01,2.0,2.0,1.0,0.06101042177970197,0.24262924687266485,32.0,62.0,15.0,1.0,2.0,2.0,0.0799948970424992,0.23155718499040145,37.0,37.0,10.0
AS14.02,0.0,1.0,0.0,1.1227976190476188,-0.0009210162258042054,27.0,54.0,14.0,0.0,1.0,0.0,1.4567901234567904,-0.12858660998937355,32.0,32.0,9.0
AS14.03,0.0,1.0,0.0,0.061074074074074086,-0.00815162013450177,32.0,64.0,15.0,4.0,1.0,2.0,0.06432450507845233,0.06095613024157198,37.0,37.0,10.0
AS14.05,0.0,2.0,1.0,0.07790295370712488,0.19770064773110974,37.0,61.0,16.0,2.0,1.0,2.0,0.10480448350362023,0.19172775372371875,42.0,42.0,11.0
AS14.06,3.0,1.0,0.0,0.20555988872078904,0.05857450668595199,29.0,64.0,16.0,0.0,1.0,1.0,0.2341773378062422,-0.029490603110210012,36.0,36.0,9.0
AS14.07,4.0,0.0,2.0,0.627736175810609,0.22535975754272186,38.0,40.0,10.0,4.0,0.0,2.0,0.6282212164397717,0.22476120674215516,38.0,38.0,10.0
AS14.08,4.0,2.0,2.0,0.3852293882933715,-0.44170637855544403,46.0,62.0,16.0,4.0,1.0,1.0,0.2774959203881966,0.11676544894961671,49.0,49.0,13.0
AS14.09,0.0,0.0,0.0,0.34265150528812127,-0.009528646333146318,30.0,62.0,16.0,4.0,0.0,2.0,0.24111500090073584,0.41437852717047585,36.0,36.0,10.0
AS14.12,1.0,1.0,0.0,0.261747565397933,0.011654165096488422,25.0,60.0,16.0,2.0,1.0,1.0,0.4093244676269785,-0.6821553464122403,32.0,32.0,9.0
AS14.13,0.0,0.0,0.0,0.8769943566008643,-0.6731800706821303,37.0,61.0,16.0,0.0,2.0,1.0,0.49089938901682806,-2.025835203845057,42.0,42.0,11.0
AS14.14,2.0,0.0,2.0,0.33791902563926557,-0.25363133026491513,30.0,62.0,14.0,4.0,1.0,1.0,0.3687514212022226,0.062169320205064826,35.0,35.0,9.0
AS14.15,0.0,1.0,1.0,0.09533421169643083,-0.030640126447900817,39.0,64.0,16.0,0.0,1.0,1.0,0.09110527051486868,-0.03606557634390106,44.0,44.0,11.0
AS14.16,4.0,1.0,1.0,0.32291904755778034,0.03781422977221416,38.0,62.0,15.0,3.0,2.0,0.0,0.3806473977487501,0.11713962803175759,42.0,42.0,11.0
AS14.17,4.0,0.0,2.0,0.13491713566194177,0.02579090102898296,41.0,62.0,15.0,4.0,0.0,1.0,0.12325909573059728,0.08825941773694568,44.0,44.0,12.0
AS14.19,2.0,2.0,2.0,0.26257427989231824,0.027127330387396897,30.0,62.0,16.0,3.0,2.0,1.0,0.23363820676592714,0.026067849657441466,36.0,36.0,10.0
AS14.20,0.0,1.0,2.0,0.06790677654108707,0.10820101943305549,31.0,62.0,16.0,4.0,1.0,0.0,0.03547976825793257,-0.0013104870536020385,37.0,37.0,10.0
AS14.23,1.0,2.0,2.0,0.35735200970693315,0.09942790693387515,27.0,61.0,12.0,1.0,2.0,2.0,0.4676031127485436,-0.33184687209198005,31.0,31.0,8.0
AS14.24,3.0,0.0,0.0,0.20301952530670717,-0.018999466698265577,43.0,49.0,12.0,3.0,0.0,2.0,0.21072647167812414,-0.10319509486083733,44.0,44.0,11.0
AS14.25,2.0,0.0,1.0,0.336726403616154,-0.0378692377782488,14.0,64.0,16.0,3.0,2.0,0.0,0.04831594918756732,0.3680109997266119,24.0,24.0,6.0
AS14.26,3.0,0.0,2.0,0.4616756618274435,0.09269622608777806,47.0,82.0,21.0,3.0,0.0,2.0,0.4615265415454252,0.12616690356546212,54.0,54.0,14.0
AS14.27,0.0,0.0,1.0,0.3708806798506802,-0.6401330391247604,25.0,70.0,17.0,4.0,1.0,0.0,0.2288393077935834,-0.029776885071125747,33.0,33.0,9.0
AS14.28,0.0,0.0,0.0,0.2860314170862047,-0.06487046547193365,22.0,64.0,16.0,4.0,2.0,0.0,0.2338876660840331,-0.6842017210201645,30.0,30.0,8.0
AS14.29,0.0,0.0,2.0,0.2652990766747527,0.02043417843168205,26.0,70.0,16.0,4.0,2.0,0.0,0.3025553149546808,0.17872049224768238,33.0,33.0,9.0
AS14.30,3.0,2.0,0.0,0.03550863762759543,-0.023960713338714745,31.0,62.0,16.0,2.0,2.0,1.0,0.02522132233131768,-0.43302967791577873,37.0,37.0,10.0
AS14.31,3.0,1.0,0.0,0.023438099837983797,-0.02654162802892235,28.0,72.0,15.0,4.0,1.0,2.0,0.01279558976361403,0.3337153615946664,34.0,34.0,9.0
AS14.32,4.0,2.0,1.0,0.5537785073962304,-0.31602900737858564,22.0,69.0,15.0,4.0,2.0,1.0,0.5585850185303036,0.1632555636287969,29.0,29.0,8.0
AS14.33,4.0,1.0,0.0,0.4202558012181231,0.041566551822073805,22.0,83.0,21.0,2.0,0.0,1.0,0.5429868401464617,0.0707823975521239,34.0,34.0,9.0
