,mse,r2
AS14.01,0.0799948970424992,0.23155718499040145
AS14.02,1.4567901234567904,-0.12858660998937355
AS14.03,0.06432450507845233,0.06095613024157198
AS14.05,0.10480448350362023,0.19172775372371875
AS14.06,0.2341773378062422,-0.029490603110210012
AS14.07,0.6282212164397717,0.22476120674215516
AS14.08,0.2774959203881966,0.11676544894961671
AS14.09,0.24111500090073584,0.41437852717047585
AS14.12,0.4093244676269785,-0.6821553464122403
AS14.13,0.49089938901682806,-2.025835203845057
AS14.14,0.3687514212022226,0.062169320205064826
AS14.15,0.09110527051486868,-0.03606557634390106
AS14.16,0.3806473977487501,0.11713962803175759
AS14.17,0.12325909573059728,0.08825941773694568
AS14.19,0.23363820676592714,0.026067849657441466
AS14.20,0.03547976825793257,-0.0013104870536020385
AS14.23,0.4676031127485436,-0.33184687209198005
AS14.24,0.21072647167812414,-0.10319509486083733
AS14.25,0.04831594918756732,0.3680109997266119
AS14.26,0.4615265415454252,0.12616690356546212
AS14.27,0.2288393077935834,-0.029776885071125747
AS14.28,0.2338876660840331,-0.6842017210201645
AS14.29,0.3025553149546808,0.17872049224768238
AS14.30,0.02522132233131768,-0.43302967791577873
AS14.31,0.01279558976361403,0.3337153615946664
AS14.32,0.5585850185303036,0.1632555636287969
AS14.33,0.5429868401464617,0.0707823975521239
